Related Terms,Co-Occurency with Broad Term
geoheritage,302
geotourism,286
geodiversity,223
management,111
geological heritage,93
geosites,89
history,71
heritage,71
geosite,69
geopark,67
conservation,62
nan,62
evolution,50
geoparks,49
geomorphosites,45
inventory,43
tool,37
biodiversity,34
tourism,34
sustainable development,31
ecosystem services,30
education,27
geoeducation,25
area,21
brazil,18
geomorphological heritage,17
basin,17
global geopark,16
geology,16
sites,16
geomorphology,15
geoscience,13
classification,13
quantitative assessment,13
diversity,13
future,13
sustainability,13
protection,12
region,12
origin,12
protected areas,12
geomorphosite,12
paleontological heritage,11
stratigraphy,11
landscapes,11
volcanic geoheritage,11
serbia,11
assessment,11
portugal,11
landscape,11
