Related Terms,Co-Occurency with Broad Term
geoconservation,239
geoheritage,222
geotourism,189
biodiversity,147
management,103
nan,87
conservation,79
geosites,73
ecosystem services,67
geological heritage,62
diversity,58
heritage,57
evolution,57
geopark,51
geosite,48
geoparks,39
history,36
climate-change,35
geomorphosites,34
geosystem services,33
inventory,33
sustainable development,31
landscape,30
classification,30
climate,30
basin,28
geomorphology,27
tourism,26
brazil,25
area,24
quantitative assessment,23
vegetation,22
sustainability,22
landscapes,22
gis,21
species richness,20
scale,19
patterns,19
education,19
heterogeneity,17
impacts,17
tool,17
geodiversity assessment,16
geology,16
protected areas,16
geoeducation,16
environmental heterogeneity,16
region,16
geodiversity index,14
global geopark,13
