Related Term,Co-Occurency with Broad Term
geotourism,360
geoconservation,333
geodiversity,213
management,137
geosites,131
nan,121
heritage,120
evolution,98
geosite,93
geopark,89
geomorphosites,72
geological heritage,67
geoparks,63
inventory,61
history,61
conservation,56
tourism,51
sustainable development,42
basin,42
tool,39
landscape,38
area,37
education,31
geoeducation,30
geomorphology,29
biodiversity,26
ecosystem services,25
volcanic geoheritage,25
stratigraphy,24
assessment,24
region,23
landforms,22
origin,21
serbia,21
geology,21
brazil,20
gam,20
morocco,20
geomorphological heritage,19
field,18
city,17
quantitative assessment,16
tectonics,16
sites,16
resource,16
sustainable tourism,15
classification,15
examples,15
karst,14
areas,14
