Related Terms,Co-Occurency with Broad Term
geotourism,268
geoheritage,216
geoconservation,171
geodiversity,128
nan,99
management,88
geological heritage,68
heritage,65
geosites,62
geosite,50
evolution,50
tourism,50
sustainable development,45
conservation,38
history,29
unesco global geopark,25
education,25
global geopark,23
tool,22
basin,22
geomorphosites,21
inventory,19
geoeducation,18
region,18
ecosystem services,17
sustainability,17
biodiversity,16
sustainable tourism,16
classification,15
unesco global geoparks,15
area,15
protection,14
origin,14
gis,13
karst,13
stratigraphy,12
china,12
landscape,12
brazil,11
model,11
assessment,11
areas,11
resource,10
serbia,10
geomorphology,10
sandstone,9
national geopark,9
fruska gora mountain,9
geology,9
gam,9
