Related Terms,Co-Occurency with Broad Term
geoheritage,258
geotourism,233
geoconservation,184
geodiversity,123
management,85
geological heritage,78
nan,71
evolution,61
heritage,57
geomorphosites,50
geopark,50
inventory,47
geoparks,41
conservation,41
history,34
basin,30
tool,30
tourism,30
assessment,22
sites,19
region,19
geoeducation,18
landscape,18
area,17
gam,17
geosite assessment,16
education,16
quantitative assessment,15
morocco,14
serbia,14
sustainable development,14
stratigraphy,13
geomorphological heritage,13
gis,12
brazil,12
volcanic geoheritage,12
geomorphosite,11
city,11
m-gam,11
assessment model gam,10
examples,10
geomorphology,10
rome,10
mountains,9
sustainability,9
fruska gora mountain,9
vulnerability,9
ecosystem services,9
cave,8
example,8
