Related Terms,Co-Occurency with Broad Term
geoheritage,358
geoconservation,287
geodiversity,189
management,139
nan,130
geosites,123
geopark,110
heritage,101
geological heritage,96
geosite,88
geoparks,78
tourism,75
evolution,66
geomorphosites,64
history,52
conservation,49
sustainable development,49
education,37
tool,37
geoeducation,36
inventory,31
serbia,29
area,27
landscape,27
basin,27
sustainable tourism,26
gam,26
geomorphological heritage,21
geomorphology,20
sustainability,20
assessment,19
biodiversity,18
region,18
sites,18
global geopark,17
urban geotourism,17
morocco,17
model,17
stratigraphy,17
karst,16
origin,16
volcanic geoheritage,15
m-gam,15
ecosystem services,15
city,15
classification,14
geosite assessment,14
national-park,14
impacts,13
destination,13
