Related Terms,Co-Occurency with Broad Term
geotourism,52
geoconservation,46
geoheritage,37
geodiversity,28
management,24
geological heritage,20
unesco global geoparks,15
nan,14
sustainable development,13
heritage,11
geopark,11
education,9
conservation,9
geosite,8
geoeducation,8
model,7
ecosystem services,7
basin,7
geoparks,6
tool,6
tourism,6
geosites,6
geomorphosites,6
evolution,5
classification,5
region,5
history,4
area,4
global geoparks,4
fruska gora mountain,4
sustainability,4
geosystem services,4
province,4
island,4
china,4
framework,4
sustainable tourism,4
destination,3
resource,3
karst,3
gam,3
bibliometric analysis,3
volcanic geoheritage,3
m-gam,3
xiangxi unesco global geopark,3
areas,3
stratigraphy,3
oaxaca,3
origin,3
paleontological heritage,2
